Product_ID,Product_Name,Category,Brand,Description,Price_INR,Weight,Flavor,Color,Image_Path,AI_Image_Prompt
18,Arogya Life Bluetooth Speaker,Electronics,Arogya Life,Premium bluetooth speaker for Indian households.,1478,500g,vanilla,orange,images/18.png,"Photorealistic Bluetooth Speaker, fictional brand 'Arogya Life', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
19,Bharat Fresh LED Bulb 9W,Electronics,Bharat Fresh,Premium led bulb 9w for Indian households.,29,250ml,natural,white,images/19.png,"Photorealistic LED Bulb 9W, fictional brand 'Bharat Fresh', white packaging, front view, white background, soft studio lighting, 4K commercial product photography."
20,Daily Harvest Milk 1L,Dairy,Daily Harvest,Premium milk 1l for Indian households.,1126,100g,vanilla,orange,images/20.png,"Photorealistic Milk 1L, fictional brand 'Daily Harvest', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
21,FreshRoots Curd 500g,Dairy,FreshRoots,Premium curd 500g for Indian households.,818,500ml,masala,black,images/21.png,"Photorealistic Curd 500g, fictional brand 'FreshRoots', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
22,Bharat Fresh Mixer Grinder,Kitchen,Bharat Fresh,Premium mixer grinder for Indian households.,324,2kg,vanilla,yellow,images/22.png,"Photorealistic Mixer Grinder, fictional brand 'Bharat Fresh', yellow packaging, front view, white background, soft studio lighting, 4K commercial product photography."
23,Griha Essentials Bluetooth Speaker,Electronics,Griha Essentials,Premium bluetooth speaker for Indian households.,163,1kg,vanilla,orange,images/23.png,"Photorealistic Bluetooth Speaker, fictional brand 'Griha Essentials', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
24,Swaad Plus Potato Chips,Snacks,Swaad Plus,Premium potato chips for Indian households.,1128,200g,classic,green,images/24.png,"Photorealistic Potato Chips, fictional brand 'Swaad Plus', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
25,FreshRoots Ghee 1L,Dairy,FreshRoots,Premium ghee 1l for Indian households.,865,500ml,plain,yellow,images/25.png,"Photorealistic Ghee 1L, fictional brand 'FreshRoots', yellow packaging, front view, white background, soft studio lighting, 4K commercial product photography."
26,Annapurna Foods Face Wash,Personal Care,Annapurna Foods,Premium face wash for Indian households.,272,2kg,mint,blue,images/26.png,"Photorealistic Face Wash, fictional brand 'Annapurna Foods', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
27,PureHarvest India Water Bottle,Kitchen,PureHarvest India,Premium water bottle for Indian households.,303,500ml,herbal,brown,images/27.png,"Photorealistic Water Bottle, fictional brand 'PureHarvest India', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
28,Annapurna Foods Lunch Box,Kitchen,Annapurna Foods,Premium lunch box for Indian households.,245,1L,plain,black,images/28.png,"Photorealistic Lunch Box, fictional brand 'Annapurna Foods', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
29,FreshRoots Keyboard,Electronics,FreshRoots,Premium keyboard for Indian households.,607,1kg,herbal,blue,images/29.png,"Photorealistic Keyboard, fictional brand 'FreshRoots', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
30,FreshRoots Bluetooth Speaker,Electronics,FreshRoots,Premium bluetooth speaker for Indian households.,1027,1kg,herbal,white,images/30.png,"Photorealistic Bluetooth Speaker, fictional brand 'FreshRoots', white packaging, front view, white background, soft studio lighting, 4K commercial product photography."
31,Annapurna Foods Water Bottle,Kitchen,Annapurna Foods,Premium water bottle for Indian households.,216,1kg,vanilla,red,images/31.png,"Photorealistic Water Bottle, fictional brand 'Annapurna Foods', red packaging, front view, white background, soft studio lighting, 4K commercial product photography."
32,Namma Choice Milk 1L,Dairy,Namma Choice,Premium milk 1l for Indian households.,1285,100g,classic,green,images/32.png,"Photorealistic Milk 1L, fictional brand 'Namma Choice', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
33,PureHarvest India Khakhra,Snacks,PureHarvest India,Premium khakhra for Indian households.,998,500g,natural,green,images/33.png,"Photorealistic Khakhra, fictional brand 'PureHarvest India', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
34,PureHarvest India Curd 500g,Dairy,PureHarvest India,Premium curd 500g for Indian households.,245,2kg,classic,blue,images/34.png,"Photorealistic Curd 500g, fictional brand 'PureHarvest India', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
35,Swaad Plus Mixer Grinder,Kitchen,Swaad Plus,Premium mixer grinder for Indian households.,76,500ml,mint,white,images/35.png,"Photorealistic Mixer Grinder, fictional brand 'Swaad Plus', white packaging, front view, white background, soft studio lighting, 4K commercial product photography."
36,Arogya Life Masala Mixture,Snacks,Arogya Life,Premium masala mixture for Indian households.,273,2kg,herbal,orange,images/36.png,"Photorealistic Masala Mixture, fictional brand 'Arogya Life', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
37,Swaad Plus LED Bulb 9W,Electronics,Swaad Plus,Premium led bulb 9w for Indian households.,1183,1kg,herbal,brown,images/37.png,"Photorealistic LED Bulb 9W, fictional brand 'Swaad Plus', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
38,Arogya Life Keyboard,Electronics,Arogya Life,Premium keyboard for Indian households.,760,1kg,mint,red,images/38.png,"Photorealistic Keyboard, fictional brand 'Arogya Life', red packaging, front view, white background, soft studio lighting, 4K commercial product photography."
39,Desi Basket Mixer Grinder,Kitchen,Desi Basket,Premium mixer grinder for Indian households.,544,200g,classic,white,images/39.png,"Photorealistic Mixer Grinder, fictional brand 'Desi Basket', white packaging, front view, white background, soft studio lighting, 4K commercial product photography."
40,Daily Harvest Masala Mixture,Snacks,Daily Harvest,Premium masala mixture for Indian households.,659,500ml,classic,blue,images/40.png,"Photorealistic Masala Mixture, fictional brand 'Daily Harvest', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
41,Griha Essentials Cheese 200g,Dairy,Griha Essentials,Premium cheese 200g for Indian households.,1415,1kg,plain,yellow,images/41.png,"Photorealistic Cheese 200g, fictional brand 'Griha Essentials', yellow packaging, front view, white background, soft studio lighting, 4K commercial product photography."
42,Daily Harvest Fry Pan,Kitchen,Daily Harvest,Premium fry pan for Indian households.,646,500g,classic,white,images/42.png,"Photorealistic Fry Pan, fictional brand 'Daily Harvest', white packaging, front view, white background, soft studio lighting, 4K commercial product photography."
43,Griha Essentials Ghee 1L,Dairy,Griha Essentials,Premium ghee 1l for Indian households.,1035,2kg,vanilla,blue,images/43.png,"Photorealistic Ghee 1L, fictional brand 'Griha Essentials', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
44,Annapurna Foods Butter 500g,Dairy,Annapurna Foods,Premium butter 500g for Indian households.,1392,1L,mint,black,images/44.png,"Photorealistic Butter 500g, fictional brand 'Annapurna Foods', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
45,Arogya Life Masala Mixture,Snacks,Arogya Life,Premium masala mixture for Indian households.,1345,500ml,masala,orange,images/45.png,"Photorealistic Masala Mixture, fictional brand 'Arogya Life', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
46,Bharat Fresh Cookies,Snacks,Bharat Fresh,Premium cookies for Indian households.,1223,100g,vanilla,black,images/46.png,"Photorealistic Cookies, fictional brand 'Bharat Fresh', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
47,Swaad Plus Shampoo,Personal Care,Swaad Plus,Premium shampoo for Indian households.,1344,100g,spicy,orange,images/47.png,"Photorealistic Shampoo, fictional brand 'Swaad Plus', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
48,Swaad Plus Soap,Personal Care,Swaad Plus,Premium soap for Indian households.,1293,200g,mint,brown,images/48.png,"Photorealistic Soap, fictional brand 'Swaad Plus', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
49,Namma Choice Curd 500g,Dairy,Namma Choice,Premium curd 500g for Indian households.,880,1kg,masala,brown,images/49.png,"Photorealistic Curd 500g, fictional brand 'Namma Choice', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
50,Namma Choice Cookies,Snacks,Namma Choice,Premium cookies for Indian households.,290,1L,mint,green,images/50.png,"Photorealistic Cookies, fictional brand 'Namma Choice', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
51,Arogya Life Salt 1kg,Grocery,Arogya Life,Premium salt 1kg for Indian households.,911,500g,herbal,blue,images/51.png,"Photorealistic Salt 1kg, fictional brand 'Arogya Life', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
52,Griha Essentials Popcorn,Snacks,Griha Essentials,Premium popcorn for Indian households.,543,1L,vanilla,black,images/52.png,"Photorealistic Popcorn, fictional brand 'Griha Essentials', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
53,Arogya Life Power Bank,Electronics,Arogya Life,Premium power bank for Indian households.,714,1L,natural,orange,images/53.png,"Photorealistic Power Bank, fictional brand 'Arogya Life', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
54,Swaad Plus Face Wash,Personal Care,Swaad Plus,Premium face wash for Indian households.,1162,1kg,herbal,yellow,images/54.png,"Photorealistic Face Wash, fictional brand 'Swaad Plus', yellow packaging, front view, white background, soft studio lighting, 4K commercial product photography."
55,PureHarvest India Milk 1L,Dairy,PureHarvest India,Premium milk 1l for Indian households.,1126,100g,masala,white,images/55.png,"Photorealistic Milk 1L, fictional brand 'PureHarvest India', white packaging, front view, white background, soft studio lighting, 4K commercial product photography."
56,Namma Choice Paneer 200g,Dairy,Namma Choice,Premium paneer 200g for Indian households.,465,100g,vanilla,brown,images/56.png,"Photorealistic Paneer 200g, fictional brand 'Namma Choice', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
57,Desi Basket Wheat Flour 5kg,Grocery,Desi Basket,Premium wheat flour 5kg for Indian households.,1224,1L,vanilla,brown,images/57.png,"Photorealistic Wheat Flour 5kg, fictional brand 'Desi Basket', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
58,Desi Basket Toothpaste,Personal Care,Desi Basket,Premium toothpaste for Indian households.,103,2kg,mint,red,images/58.png,"Photorealistic Toothpaste, fictional brand 'Desi Basket', red packaging, front view, white background, soft studio lighting, 4K commercial product photography."
59,Griha Essentials Cheese 200g,Dairy,Griha Essentials,Premium cheese 200g for Indian households.,477,1L,natural,black,images/59.png,"Photorealistic Cheese 200g, fictional brand 'Griha Essentials', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
60,PureHarvest India Bhujia,Snacks,PureHarvest India,Premium bhujia for Indian households.,894,1L,vanilla,blue,images/60.png,"Photorealistic Bhujia, fictional brand 'PureHarvest India', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
61,Swaad Plus Popcorn,Snacks,Swaad Plus,Premium popcorn for Indian households.,280,100g,plain,yellow,images/61.png,"Photorealistic Popcorn, fictional brand 'Swaad Plus', yellow packaging, front view, white background, soft studio lighting, 4K commercial product photography."
62,FreshRoots Bhujia,Snacks,FreshRoots,Premium bhujia for Indian households.,664,500g,mint,red,images/62.png,"Photorealistic Bhujia, fictional brand 'FreshRoots', red packaging, front view, white background, soft studio lighting, 4K commercial product photography."
63,PureHarvest India Jaggery 500g,Grocery,PureHarvest India,Premium jaggery 500g for Indian households.,132,500ml,natural,green,images/63.png,"Photorealistic Jaggery 500g, fictional brand 'PureHarvest India', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
64,Griha Essentials Keyboard,Electronics,Griha Essentials,Premium keyboard for Indian households.,1114,500g,natural,brown,images/64.png,"Photorealistic Keyboard, fictional brand 'Griha Essentials', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
65,Swaad Plus Cookies,Snacks,Swaad Plus,Premium cookies for Indian households.,175,500g,masala,yellow,images/65.png,"Photorealistic Cookies, fictional brand 'Swaad Plus', yellow packaging, front view, white background, soft studio lighting, 4K commercial product photography."
66,Swaad Plus Tea 500g,Grocery,Swaad Plus,Premium tea 500g for Indian households.,1402,500g,plain,white,images/66.png,"Photorealistic Tea 500g, fictional brand 'Swaad Plus', white packaging, front view, white background, soft studio lighting, 4K commercial product photography."
67,Annapurna Foods Wheat Flour 5kg,Grocery,Annapurna Foods,Premium wheat flour 5kg for Indian households.,844,2kg,spicy,black,images/67.png,"Photorealistic Wheat Flour 5kg, fictional brand 'Annapurna Foods', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
68,Daily Harvest Toor Dal 1kg,Grocery,Daily Harvest,Premium toor dal 1kg for Indian households.,311,200g,vanilla,blue,images/68.png,"Photorealistic Toor Dal 1kg, fictional brand 'Daily Harvest', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
69,Annapurna Foods Face Wash,Personal Care,Annapurna Foods,Premium face wash for Indian households.,530,500ml,mint,brown,images/69.png,"Photorealistic Face Wash, fictional brand 'Annapurna Foods', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
70,Arogya Life Khakhra,Snacks,Arogya Life,Premium khakhra for Indian households.,1473,2kg,mint,green,images/70.png,"Photorealistic Khakhra, fictional brand 'Arogya Life', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
71,Namma Choice Toor Dal 1kg,Grocery,Namma Choice,Premium toor dal 1kg for Indian households.,174,100g,mint,green,images/71.png,"Photorealistic Toor Dal 1kg, fictional brand 'Namma Choice', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
72,Bharat Fresh Hair Oil,Personal Care,Bharat Fresh,Premium hair oil for Indian households.,711,500g,mint,red,images/72.png,"Photorealistic Hair Oil, fictional brand 'Bharat Fresh', red packaging, front view, white background, soft studio lighting, 4K commercial product photography."
73,Annapurna Foods Bluetooth Speaker,Electronics,Annapurna Foods,Premium bluetooth speaker for Indian households.,484,2kg,herbal,white,images/73.png,"Photorealistic Bluetooth Speaker, fictional brand 'Annapurna Foods', white packaging, front view, white background, soft studio lighting, 4K commercial product photography."
74,Swaad Plus Ghee 1L,Dairy,Swaad Plus,Premium ghee 1l for Indian households.,1419,1kg,natural,black,images/74.png,"Photorealistic Ghee 1L, fictional brand 'Swaad Plus', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
75,Desi Basket Rice 5kg,Grocery,Desi Basket,Premium rice 5kg for Indian households.,1252,2kg,classic,brown,images/75.png,"Photorealistic Rice 5kg, fictional brand 'Desi Basket', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
76,Daily Harvest Wheat Flour 5kg,Grocery,Daily Harvest,Premium wheat flour 5kg for Indian households.,445,1L,herbal,brown,images/76.png,"Photorealistic Wheat Flour 5kg, fictional brand 'Daily Harvest', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
77,FreshRoots Paneer 200g,Dairy,FreshRoots,Premium paneer 200g for Indian households.,128,2kg,masala,brown,images/77.png,"Photorealistic Paneer 200g, fictional brand 'FreshRoots', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
78,FreshRoots Masala Mixture,Snacks,FreshRoots,Premium masala mixture for Indian households.,973,2kg,mint,brown,images/78.png,"Photorealistic Masala Mixture, fictional brand 'FreshRoots', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
79,Swaad Plus USB Cable,Electronics,Swaad Plus,Premium usb cable for Indian households.,843,250ml,mint,orange,images/79.png,"Photorealistic USB Cable, fictional brand 'Swaad Plus', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
80,Daily Harvest Water Bottle,Kitchen,Daily Harvest,Premium water bottle for Indian households.,1079,250ml,mint,green,images/80.png,"Photorealistic Water Bottle, fictional brand 'Daily Harvest', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
81,Annapurna Foods Body Lotion,Personal Care,Annapurna Foods,Premium body lotion for Indian households.,342,1kg,mint,white,images/81.png,"Photorealistic Body Lotion, fictional brand 'Annapurna Foods', white packaging, front view, white background, soft studio lighting, 4K commercial product photography."
82,FreshRoots Bhujia,Snacks,FreshRoots,Premium bhujia for Indian households.,753,1kg,plain,red,images/82.png,"Photorealistic Bhujia, fictional brand 'FreshRoots', red packaging, front view, white background, soft studio lighting, 4K commercial product photography."
83,Namma Choice LED Bulb 9W,Electronics,Namma Choice,Premium led bulb 9w for Indian households.,1249,500ml,spicy,brown,images/83.png,"Photorealistic LED Bulb 9W, fictional brand 'Namma Choice', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
84,Swaad Plus Ghee 1L,Dairy,Swaad Plus,Premium ghee 1l for Indian households.,387,500ml,natural,orange,images/84.png,"Photorealistic Ghee 1L, fictional brand 'Swaad Plus', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
85,Bharat Fresh Fry Pan,Kitchen,Bharat Fresh,Premium fry pan for Indian households.,681,500ml,plain,brown,images/85.png,"Photorealistic Fry Pan, fictional brand 'Bharat Fresh', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
86,Namma Choice Coffee 200g,Grocery,Namma Choice,Premium coffee 200g for Indian households.,739,500g,natural,yellow,images/86.png,"Photorealistic Coffee 200g, fictional brand 'Namma Choice', yellow packaging, front view, white background, soft studio lighting, 4K commercial product photography."
87,Namma Choice Body Lotion,Personal Care,Namma Choice,Premium body lotion for Indian households.,742,250ml,classic,brown,images/87.png,"Photorealistic Body Lotion, fictional brand 'Namma Choice', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
88,Namma Choice Cheese 200g,Dairy,Namma Choice,Premium cheese 200g for Indian households.,1217,500g,plain,blue,images/88.png,"Photorealistic Cheese 200g, fictional brand 'Namma Choice', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
89,Desi Basket Water Bottle,Kitchen,Desi Basket,Premium water bottle for Indian households.,1272,1kg,spicy,orange,images/89.png,"Photorealistic Water Bottle, fictional brand 'Desi Basket', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
90,Annapurna Foods Power Bank,Electronics,Annapurna Foods,Premium power bank for Indian households.,936,1L,natural,black,images/90.png,"Photorealistic Power Bank, fictional brand 'Annapurna Foods', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
91,PureHarvest India Mixer Grinder,Kitchen,PureHarvest India,Premium mixer grinder for Indian households.,265,100g,natural,brown,images/91.png,"Photorealistic Mixer Grinder, fictional brand 'PureHarvest India', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
92,Bharat Fresh Sugar 1kg,Grocery,Bharat Fresh,Premium sugar 1kg for Indian households.,479,250ml,masala,yellow,images/92.png,"Photorealistic Sugar 1kg, fictional brand 'Bharat Fresh', yellow packaging, front view, white background, soft studio lighting, 4K commercial product photography."
93,Daily Harvest Fry Pan,Kitchen,Daily Harvest,Premium fry pan for Indian households.,866,500g,masala,orange,images/93.png,"Photorealistic Fry Pan, fictional brand 'Daily Harvest', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
94,Desi Basket Wheat Flour 5kg,Grocery,Desi Basket,Premium wheat flour 5kg for Indian households.,922,200g,masala,brown,images/94.png,"Photorealistic Wheat Flour 5kg, fictional brand 'Desi Basket', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
95,Bharat Fresh Mixer Grinder,Kitchen,Bharat Fresh,Premium mixer grinder for Indian households.,1371,100g,spicy,brown,images/95.png,"Photorealistic Mixer Grinder, fictional brand 'Bharat Fresh', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
96,Griha Essentials Masala Mixture,Snacks,Griha Essentials,Premium masala mixture for Indian households.,579,200g,natural,green,images/96.png,"Photorealistic Masala Mixture, fictional brand 'Griha Essentials', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
97,Namma Choice Water Bottle,Kitchen,Namma Choice,Premium water bottle for Indian households.,1485,200g,mint,green,images/97.png,"Photorealistic Water Bottle, fictional brand 'Namma Choice', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
98,Arogya Life Mixer Grinder,Kitchen,Arogya Life,Premium mixer grinder for Indian households.,311,1L,mint,blue,images/98.png,"Photorealistic Mixer Grinder, fictional brand 'Arogya Life', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
99,Arogya Life Soap,Personal Care,Arogya Life,Premium soap for Indian households.,541,2kg,vanilla,green,images/99.png,"Photorealistic Soap, fictional brand 'Arogya Life', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
100,Annapurna Foods Water Bottle,Kitchen,Annapurna Foods,Premium water bottle for Indian households.,697,2kg,plain,black,images/100.png,"Photorealistic Water Bottle, fictional brand 'Annapurna Foods', black packaging, front view, white background, soft studio lighting, 4K commercial product photography."
101,Desi Basket Lunch Box,Kitchen,Desi Basket,Premium lunch box for Indian households.,1075,200g,spicy,green,images/101.png,"Photorealistic Lunch Box, fictional brand 'Desi Basket', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
102,Desi Basket Keyboard,Electronics,Desi Basket,Premium keyboard for Indian households.,40,2kg,vanilla,white,images/102.png,"Photorealistic Keyboard, fictional brand 'Desi Basket', white packaging, front view, white background, soft studio lighting, 4K commercial product photography."
103,Annapurna Foods Rice 5kg,Grocery,Annapurna Foods,Premium rice 5kg for Indian households.,1223,500ml,plain,blue,images/103.png,"Photorealistic Rice 5kg, fictional brand 'Annapurna Foods', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
104,Griha Essentials Potato Chips,Snacks,Griha Essentials,Premium potato chips for Indian households.,709,500g,plain,red,images/104.png,"Photorealistic Potato Chips, fictional brand 'Griha Essentials', red packaging, front view, white background, soft studio lighting, 4K commercial product photography."
105,Arogya Life Mixer Grinder,Kitchen,Arogya Life,Premium mixer grinder for Indian households.,1421,200g,vanilla,red,images/105.png,"Photorealistic Mixer Grinder, fictional brand 'Arogya Life', red packaging, front view, white background, soft studio lighting, 4K commercial product photography."
106,PureHarvest India LED Bulb 9W,Electronics,PureHarvest India,Premium led bulb 9w for Indian households.,908,1L,herbal,brown,images/106.png,"Photorealistic LED Bulb 9W, fictional brand 'PureHarvest India', brown packaging, front view, white background, soft studio lighting, 4K commercial product photography."
107,Desi Basket Butter 500g,Dairy,Desi Basket,Premium butter 500g for Indian households.,434,2kg,vanilla,green,images/107.png,"Photorealistic Butter 500g, fictional brand 'Desi Basket', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
108,PureHarvest India Butter 500g,Dairy,PureHarvest India,Premium butter 500g for Indian households.,413,1kg,masala,orange,images/108.png,"Photorealistic Butter 500g, fictional brand 'PureHarvest India', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
109,Desi Basket Curd 500g,Dairy,Desi Basket,Premium curd 500g for Indian households.,1207,1kg,vanilla,orange,images/109.png,"Photorealistic Curd 500g, fictional brand 'Desi Basket', orange packaging, front view, white background, soft studio lighting, 4K commercial product photography."
110,PureHarvest India Cheese 200g,Dairy,PureHarvest India,Premium cheese 200g for Indian households.,64,1L,natural,green,images/110.png,"Photorealistic Cheese 200g, fictional brand 'PureHarvest India', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
111,Griha Essentials Soap,Personal Care,Griha Essentials,Premium soap for Indian households.,312,1kg,plain,green,images/111.png,"Photorealistic Soap, fictional brand 'Griha Essentials', green packaging, front view, white background, soft studio lighting, 4K commercial product photography."
112,Daily Harvest Bluetooth Speaker,Electronics,Daily Harvest,Premium bluetooth speaker for Indian households.,213,1L,classic,yellow,images/112.png,"Photorealistic Bluetooth Speaker, fictional brand 'Daily Harvest', yellow packaging, front view, white background, soft studio lighting, 4K commercial product photography."
113,Arogya Life Body Lotion,Personal Care,Arogya Life,Premium body lotion for Indian households.,358,500g,masala,blue,images/113.png,"Photorealistic Body Lotion, fictional brand 'Arogya Life', blue packaging, front view, white background, soft studio lighting, 4K commercial product photography."
